stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
328,,"435 Stuart Highway",, -12.425071, 130.879124,,,0
329,,"opp 482 Stuart Highway",, -12.425101, 130.885048,,,0
330,,"Stuart Hwy before Hook Rd",, -12.425740, 130.892993,,,0
331,,"Stuart Hwy after Vanderlin Dve",, -12.433985, 130.925142,,,0
332,,"Stuart Hwy after Lagoon Rd",, -12.437983, 130.935642,,,0
333,,"Stuart Hwy after Thorak Rd",, -12.441880, 130.946253,,,0
334,,"Stuart Hwy before Foundation Rd",, -12.447686, 130.956880,,,0
335,,"863 Stuart Highway",, -12.451842, 130.962177,,,0
336,,"Stuart Hwy after Deviney Rd",, -12.459039, 130.970924,,,0
337,,"Roystonea Ave at Gateway Shopping Centre",, -12.471789, 130.982022,,,0
338,,"Palmerston School Departure",, -12.478998, 130.986719,,,0
340,,"Chung Wah Tce before Temple Tce",, -12.481551, 130.984230,,,0
341,,"opp 12 Dwyer Circuit",, -12.484438, 130.979137,,,0
342,,"51 Dwyer Circuit",, -12.481264, 130.980630,,,0
343,,"79 Dwyer Circuit",, -12.480984, 130.977950,,,0
344,,"Woodlake Blvd after University Ave",, -12.479330, 130.975740,,,0
345,,"Woodlake Blvd opp Durack School",, -12.476533, 130.973491,,,0
346,,"79 Woodlake Boulevard",, -12.473693, 130.973075,,,0
347,,"Woodlake Blvd opp Kooralbyn Way",, -12.469866, 130.970207,,,0
348,,"Woodlake Blvd opp Phoenix Cct",, -12.472290, 130.966047,,,0
349,,"Woodlake Blvd before Majestic Drive",, -12.474498, 130.965892,,,0
350,,"University Ave after Skeahan Drive",, -12.480447, 130.973154,,,0
351,,"Charles Darwin University Palmerston",, -12.476017, 130.979438,,,0
352,,"4 Maluka Drive",, -12.481328, 130.987379,,,0
354,,"Lakeview Blvd opp Fitzroy Ct",, -12.488658, 130.993201,,,0
355,,"Lakeview Blvd before Buscall Ave",, -12.489700, 130.997756,,,0
356,,"Forrest Pde at Bakewell School",, -12.494003, 130.992756,,,0
357,,"9 Landsborough Street",, -12.495417, 130.993927,,,0
358,,"37 Landsborough Street",, -12.498063, 130.993797,,,0
359,,"Aunger Cres after Ewing Ct",, -12.500799, 130.995725,,,0
36,,"184 Leanyer Dve",, -12.382073, 130.902342,,,0
360,,"Granites Dve before Rosebery Shops",, -12.503103, 130.993741,,,0
361,,"68 Rosebery Drive",, -12.504251, 130.989931,,,0
362,,"42 Rosebery Drive",, -12.504293, 130.988065,,,0
363,,"Rosebery Dve after Flametree Cct",, -12.501503, 130.988530,,,0
364,,"opp 32 Shearwater Drive",, -12.498744, 130.988498,,,0
365,,"opp 68 Shearwater Drive",, -12.495398, 130.989930,,,0
367,,"Vanderlin Dve after Waterpark",, -12.389099, 130.909808,,,0
368,,"Calytrix Rd before Livistona Rd",, -12.393784, 130.913113,,,0
369,,"13 Applegum Drive",, -12.395088, 130.914941,,,0
370,,"Applegum Dve before Milkwood Cct",, -12.396036, 130.917206,,,0
371,,"Applegum Dve after Kapok Ct",, -12.398750, 130.919760,,,0
372,,"Bauer Cres after Wearing Cres",, -12.401480, 130.919710,,,0
373,,"Bauer Cres before Manunda Tce",, -12.404010, 130.920150,,,0
374,,"Moray St before McMillans Rd",, -12.407063, 130.919529,,,0
375,,"Farrar Blvd Opp 119",, -12.482940, 131.002089,,,0
376,,"84 Farrar Blvd",, -12.479870, 131.000847,,,0
377,,"Farrar Blvd opp Nutwood Cres",, -12.479792, 130.996193,,,0
378,,"Farrar Blvd before Kettle St",, -12.478345, 130.993783,,,0
380,,"Georgina Cres before Toupein Rd",, -12.475650, 130.991215,,,0
385,,"Roystonea Ave before Packard Ave",, -12.474103, 130.983485,,,0
386,,"Stuart Hwy after Deviney Rd",, -12.458446, 130.969583,,,0
387,,"876 Stuart Hwy after McKinnon Rd",, -12.453475, 130.963529,,,0
388,,"Stuart Hwy opp Foundation Rd",, -12.448082, 130.956574,,,0
389,,"Stuart Hwy after Tivendale Rd",, -12.441721, 130.944567,,,0
390,,"Stuart Hwy after Panquee Blvd",, -12.437804, 130.933871,,,0
391,,"Stuart Hwy before Berrimah Rd",, -12.435974, 130.929118,,,0
392,,"21 Moray St",, -12.405692, 130.920248,,,0
393,,"Bauer Cres after Manunda Tce",, -12.403578, 130.920214,,,0
394,,"Bauer Cres after McPherson St",, -12.401338, 130.919546,,,0
395,,"58 Applegum Drive",, -12.398525, 130.919476,,,0
396,,"40 Applegum Drive",, -12.396871, 130.917922,,,0
397,,"Applegum Dve before Livistona Rd",, -12.395333, 130.913682,,,0
398,,"Calytrix Rd before Vanderlin Dve",, -12.392820, 130.913599,,,0
399,,"Vanderlin Drive opp Waterpark",, -12.388708, 130.908815,,,0
401,,"7 Erldunda Street",, -12.364952, 130.876008,,,0
402,,"160 Tiwi Gardens",, -12.361860, 130.877237,,,0
403,,"9 Manbulloo Street",, -12.360461, 130.880217,,,0
404,,"358 Trower Rd, Tiwi",, -12.366615, 130.878706,,,0
406,,"opp 26 Livistona Road",, -12.397045, 130.913576,,,0
407,,"39 Koolinda Crescent",, -12.398830, 130.912500,,,0
408,,"Koolinda Cres before Dongara Ct",, -12.398523, 130.910504,,,0
409,,"Ringwood St before Matthews Rd",, -12.394735, 130.898302,,,0
410,,"McMillians Rd after Henry Wrigley Dve",, -12.395560, 130.877273,,,0
411,,"Odegaard Dve before Darla Pl",, -12.504218, 130.992187,,,0
413,,"179 Lee Point Road",, -12.373683, 130.891112,,,0
