shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1h0016,-12.365032,130.885698,20020,1.173
1h0016,-12.364372,130.885699,20021,1.246
1h0016,-12.363714,130.885697,20022,1.319
1h0016,-12.362972,130.885694,20023,1.401
1h0016,-12.362260,130.885688,20024,1.480
1h0016,-12.361701,130.885687,20025,1.542
1h0016,-12.361596,130.885686,20026,1.554
1h0016,-12.361596,130.885686,30001,1.554
1h0016,-12.360491,130.885682,30002,1.676
1h0016,-12.359291,130.885688,30003,1.809
1h0016,-12.359246,130.885674,30004,1.814
1h0016,-12.359239,130.885669,30005,1.815
1h0016,-12.359192,130.885632,30006,1.821
1h0016,-12.359169,130.885594,30007,1.826
1h0016,-12.359140,130.885491,30008,1.838
1h0016,-12.359144,130.885092,30009,1.881
1h0016,-12.359150,130.884390,30010,1.958
1h0016,-12.359213,130.883105,30011,2.098
1h0016,-12.359218,130.883019,30012,2.107
1h0016,-12.359221,130.882944,30013,2.115
1h0016,-12.359226,130.882870,30014,2.123
1h0016,-12.359134,130.882866,30015,2.133
1h0016,-12.359042,130.882864,30016,2.143
1h0016,-12.358970,130.882863,30017,2.151
1h0016,-12.358747,130.882862,30018,2.176
1h0016,-12.358593,130.882858,30019,2.193
1h0016,-12.358593,130.882858,40001,2.193
1h0016,-12.358520,130.882857,40002,2.201
1h0016,-12.358074,130.882852,40003,2.251
1h0016,-12.357537,130.882850,40004,2.310
1h0016,-12.357488,130.882853,40005,2.315
1h0016,-12.357240,130.882851,40006,2.343
1h0016,-12.357008,130.882850,40007,2.369
1h0016,-12.356613,130.882846,40008,2.412
1h0016,-12.356501,130.882847,40009,2.425
1h0016,-12.356153,130.882846,40010,2.463
1h0016,-12.356053,130.882844,40011,2.474
1h0016,-12.355984,130.882844,40012,2.482
1h0016,-12.355984,130.882844,50001,2.482
1h0016,-12.355572,130.882842,50002,2.527
1h0016,-12.355526,130.882840,50003,2.532
1h0016,-12.354998,130.882836,50004,2.591
1h0016,-12.354558,130.882832,50005,2.639
1h0016,-12.354512,130.882833,50006,2.645
1h0016,-12.354428,130.882833,50007,2.654
1h0016,-12.354347,130.882832,50008,2.663
1h0016,-12.354322,130.882832,50009,2.666
1h0016,-12.354235,130.882831,50010,2.675
1h0016,-12.354070,130.882838,50011,2.693
1h0016,-12.353745,130.882837,50012,2.729
1h0016,-12.353527,130.882834,50013,2.754
1h0016,-12.353359,130.882833,50014,2.772
1h0016,-12.353267,130.882833,50015,2.782
1h0016,-12.353261,130.882921,50016,2.792
1h0016,-12.353263,130.882980,50017,2.798
1h0016,-12.353262,130.883025,50018,2.803
1h0016,-12.353262,130.883155,50019,2.817
1h0016,-12.353260,130.883280,50020,2.831
1h0016,-12.353259,130.883577,50021,2.863
1h0016,-12.353256,130.883893,50022,2.898
1h0016,-12.353255,130.883913,50023,2.900
1h0016,-12.353258,130.884267,50024,2.938
1h0016,-12.353257,130.884406,50025,2.954
1h0016,-12.353255,130.884546,50026,2.969
1h0016,-12.353254,130.884833,50027,3.000
1h0016,-12.353251,130.884996,50028,3.018
1h0016,-12.353250,130.885096,50029,3.029
1h0016,-12.353215,130.885186,50030,3.039
1h0016,-12.353142,130.885269,50031,3.051
1h0016,-12.353067,130.885323,50032,3.061
1h0016,-12.353050,130.885393,50033,3.069
1h0016,-12.353072,130.885462,50034,3.077
1h0016,-12.353118,130.885495,50035,3.083
1h0016,-12.353192,130.885504,50036,3.091
1h0016,-12.353246,130.885481,50037,3.098
1h0016,-12.353250,130.885096,50038,3.140
1h0016,-12.353251,130.884996,50039,3.151
1h0016,-12.353254,130.884833,50040,3.168
1h0016,-12.353255,130.884546,50041,3.200
1h0016,-12.353257,130.884406,50042,3.215
1h0016,-12.353258,130.884267,50043,3.230
1h0016,-12.353256,130.884070,50044,3.251
1h0016,-12.353256,130.884070,60001,3.251
1h0016,-12.353255,130.883913,60002,3.268
1h0016,-12.353256,130.883893,60003,3.271
1h0016,-12.353259,130.883577,60004,3.305
1h0016,-12.353260,130.883280,60005,3.337
1h0016,-12.353262,130.883155,60006,3.351
1h0016,-12.353262,130.883025,60007,3.365
1h0016,-12.353263,130.882980,60008,3.370
1h0016,-12.353698,130.882994,60009,3.418
1h0016,-12.353745,130.882982,60010,3.424
1h0016,-12.353916,130.882984,60011,3.442
1h0016,-12.353995,130.882984,60012,3.451
1h0016,-12.353995,130.882984,70001,3.451
1h0016,-12.354236,130.882984,70002,3.478
1h0016,-12.354342,130.882983,70003,3.490
1h0016,-12.354514,130.882986,70004,3.509
1h0016,-12.354998,130.882990,70005,3.562
1h0016,-12.355607,130.882991,70006,3.630
1h0016,-12.355852,130.882989,70007,3.657
1h0016,-12.356050,130.882992,70008,3.679
1h0016,-12.356160,130.882994,70009,3.691
1h0016,-12.356377,130.882996,70010,3.715
1h0016,-12.356377,130.882996,80001,3.715
1h0016,-12.356498,130.882997,80002,3.728
1h0016,-12.356610,130.882997,80003,3.740
1h0016,-12.357016,130.882994,80004,3.785
1h0016,-12.357491,130.883006,80005,3.838
1h0016,-12.358073,130.883006,80006,3.902
1h0016,-12.358521,130.883005,80007,3.952
1h0016,-12.358758,130.883008,80008,3.978
1h0016,-12.358967,130.883011,80009,4.001
1h0016,-12.358998,130.883010,80010,4.005
1h0016,-12.359038,130.883012,80011,4.009
1h0016,-12.359125,130.883014,80012,4.019
1h0016,-12.359218,130.883019,80013,4.029
1h0016,-12.359221,130.882944,80014,4.037
1h0016,-12.359226,130.882870,80015,4.045
1h0016,-12.359330,130.881154,80016,4.232
1h0016,-12.359388,130.880216,80017,4.335
1h0016,-12.359422,130.880218,80018,4.338
1h0016,-12.359480,130.880221,80019,4.345
1h0016,-12.360415,130.880279,80020,4.448
1h0016,-12.360415,130.880279,90001,4.448
1h0016,-12.360906,130.880310,90002,4.503
1h0016,-12.361663,130.880353,90003,4.587
1h0016,-12.361683,130.880064,90004,4.618
1h0016,-12.361685,130.880021,90005,4.623
1h0016,-12.361706,130.879635,90006,4.665
1h0016,-12.361706,130.879635,100001,4.665
1h0016,-12.361709,130.879588,100002,4.670
1h0016,-12.361823,130.877719,100003,4.874
1h0016,-12.361833,130.877646,100004,4.882
1h0016,-12.361852,130.877554,100005,4.892
1h0016,-12.361893,130.877403,100006,4.909
1h0016,-12.361931,130.877301,100007,4.921
1h0016,-12.361982,130.877185,100008,4.935
1h0016,-12.362048,130.877053,100009,4.951
1h0016,-12.362118,130.876941,100010,4.965
1h0016,-12.362178,130.876864,100011,4.976
